"Adresse : Ville","COLL_INSEE","ACCESSIBILITE _COMPTEUR","EMPLACEMENT_TYPE","FERMETURE_COMPTEUR","FERMETURE_DATE","TOURNEE_CODE","ANNEE_COMPTEUR","MARQUE_COMPTEUR","DIAMETRE_COMPTEUR","TYPE_COMPTEUR","POSE_DATE","Radio relève","ANCIEN_RELEVE_DATE","ANCIEN_INDEX","NOUVEAU_RELEVE-DATE","NOUVEAU_RELEVE","RELEVE_TYPE","CONSOMMATION","RELEVE_N-1_DATE","RELEVE_N-1","RELEVE_N-1_TYPE","CONSOMMATION","RELEVE_N-2_DATE","RELEVE_N-2","RELEVE_N-2_TYPE","CONSOMMATION","RELEVE_N-3_DATE","RELEVE_N-3","RELEVE_N-3_TYPE","CONSOMMATION_N-3","RELEVE_N-4_DATE","RELEVE_N-4","RELEVE_N-4_TYPE","CONSOMMATION_N-4","RELEVE_N-5_DATE","RELEVE_N-5","RELEVE_N-5_TYPE","CONSOMMATION_N-5","CONTRAT_ACTIF","OUVERTURE_CONTRAT_DATE","CLOTURE_CONTRAT_DATE"
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,20,2010,"Sappel",15,"Altair",07/09/2010,"Oui",31/08/2018,346,28/02/2019,363,"R",17,31/08/2018,346,"R",15,01/03/2018,331,"R",6,09/01/2018,325,"U",0,07/01/2018,325,"U",14,01/09/2017,311,"R",15,"Oui",09/01/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2018,"Sappel",15,"Altair",12/07/2018,"Oui",27/09/2018,17,26/03/2019,63,"R",46,27/09/2018,17,"R",17,12/07/2018,0,"R",0,12/07/2018,749,"R",24,27/03/2018,725,"R",43,26/09/2017,682,"R",42,"Oui",29/06/2011,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,20,2012,"Sappel",20,"Altair",21/05/2015,"Oui",03/09/2018,1454,28/02/2019,1541,"R",87,03/09/2018,1454,"R",122,01/03/2018,1332,"R",215,01/09/2017,1117,"R",270,06/03/2017,847,"R",230,05/09/2016,617,"R",225,"Oui",02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",17/05/2018,55,2017,"Sappel",30,"Altair",10/03/2018,"Oui",17/05/2018,4,09/10/2018,4,"R",0,17/05/2018,4,"R",3,10/04/2018,1,"R",1,10/03/2018,0,"R",0,10/03/2018,25171,"R",9,31/12/2017,25162,"U",162,,02/09/2009,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,75,2012,"Sappel",15,"Altair",19/02/2013,"Oui",29/05/2018,1017,08/11/2018,1056,"R",39,29/05/2018,1017,"R",4,04/05/2018,1013,"R",0,22/04/2018,1013,"U",123,02/02/2018,890,"U",0,07/11/2017,890,"R",54,"Oui",22/04/2018,
"DIGNE LES BAINS","04070","Non","PALIER","Non",,20,2014,"Sappel",15,"Altair",13/04/2015,"Oui",03/09/2018,15,28/02/2019,15,"R",0,03/09/2018,15,"R",0,01/03/2018,15,"R",0,01/09/2017,15,"R",1,06/03/2017,14,"R",2,05/09/2016,12,"R",1,,13/04/2015,31/12/2016
"DIGNE LES BAINS","04070","Non","PALIER","Non",,20,2014,"Sappel",15,"Altair",13/04/2015,"Oui",05/10/2018,217,28/02/2019,221,"R",4,05/10/2018,217,"U",0,01/10/2018,217,"U",4,03/09/2018,213,"R",21,01/03/2018,192,"R",47,01/09/2017,145,"R",6,"Oui",05/10/2018,
"DIGNE LES BAINS","04070","Non","PALIER","Non",,20,2014,"Sappel",15,"Altair",13/04/2015,"Oui",03/09/2018,94,28/02/2019,106,"R",12,03/09/2018,94,"R",8,29/06/2018,86,"R",0,23/06/2018,86,"R",2,01/03/2018,84,"R",7,03/10/2017,77,"U",0,"Oui",29/06/2018,
"DIGNE LES BAINS","04070","Non",,"Non",,10,2017,"Sappel",15,"Altair",16/03/2018,"Oui",21/08/2018,19,20/02/2019,46,"R",27,21/08/2018,19,"R",19,16/03/2018,0,"R",0,16/03/2018,180,"R",0,15/03/2018,180,"U",0,14/03/2018,180,"U",-6,"Oui",15/03/2018,
"DIGNE LES BAINS","04070","Oui","REGARD","Oui",06/12/2018,65,2018,"Sappel",15,"Altair",06/12/2018,"Oui",06/12/2018,0,06/12/2018,0,,0,,,,,,,,,,,,,,,,,,,,,,,
"DIGNE LES BAINS","04070","Oui","PALIER","Non",,55,2014,"Sappel",15,"Altair",30/01/2014,"Oui",10/04/2018,252,09/10/2018,340,"R",88,10/04/2018,252,"R",75,12/10/2017,177,"R",81,11/04/2017,96,"R",20,17/02/2017,76,"R",0,16/02/2017,76,"U",7,"Oui",17/02/2017,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,45,2013,"Sappel",15,"Altair",09/07/2013,"Oui",26/09/2018,358,26/03/2019,358,"R",0,26/09/2018,358,"R",0,22/03/2018,358,"R",0,27/09/2017,358,"R",0,03/04/2017,358,"R",0,26/09/2016,358,"R",0,"Oui",04/09/2015,
"DIGNE LES BAINS","04070","Oui","REGARD","Non",,20,2007,"Sappel",15,"Altair",28/05/2007,,31/08/2018,1054,28/02/2019,1078,"R",24,31/08/2018,1054,"R",40,05/03/2018,1014,"R",49,04/09/2017,965,"R",50,09/03/2017,915,"R",55,07/09/2016,860,"R",54,"Oui",02/09/2009,
